コード,銘柄名,ticker
6800,ヨコオ,6800.T
6803,ティアック,6803.T
6804,ホシデン,6804.T
6806,ヒロセ電機,6806.T
6807,日本航空電子工業,6807.T
6809,ＴＯＡ,6809.T
6810,マクセル,6810.T
6814,古野電気,6814.T
6817,スミダコーポレーション,6817.T
6819,伊豆シャボテンリゾート,6819.T
6820,アイコム,6820.T
6822,大井電気,6822.T
6823,リオン,6823.T
6824,新コスモス電機,6824.T
6832,アオイ電子,6832.T
6834,精工技研,6834.T
6835,アライドテレシスホールディングス,6835.T
6836,ぷらっとホーム,6836.T
6837,京写,6837.T
6838,多摩川ホールディングス,6838.T
6840,ＡＫＩＢＡホールディングス,6840.T
6841,横河電機,6841.T
6844,新電元工業,6844.T
6845,アズビル,6845.T
6848,東亜ディーケーケー,6848.T
6849,日本光電工業,6849.T
6850,チノー,6850.T
6853,共和電業,6853.T
6855,日本電子材料,6855.T
6856,堀場製作所,6856.T
6857,アドバンテスト,6857.T
6858,小野測器,6858.T
6859,エスペック,6859.T
6861,キーエンス,6861.T
6862,ミナトホールディングス,6862.T
6863,ニレコ,6863.T
6864,エヌエフホールディングス,6864.T
6866,日置電機,6866.T
6867,リーダー電子,6867.T
6869,シスメックス,6869.T
6870,日本フェンオール,6870.T
6871,日本マイクロニクス,6871.T
6874,協立電機,6874.T
6875,メガチップス,6875.T
6877,ＯＢＡＲＡ　ＧＲＯＵＰ,6877.T
6879,ＩＭＡＧＩＣＡ　ＧＲＯＵＰ,6879.T
6882,三社電機製作所,6882.T
6888,アクモス,6888.T
6890,フェローテックホールディングス,6890.T
6894,パルステック工業,6894.T
6897,ツインバード,6897.T
6898,トミタ電機,6898.T
6899,ＡＳＴＩ,6899.T
6901,澤藤電機,6901.T
6902,デンソー,6902.T
6904,原田工業,6904.T
6905,コーセル,6905.T
6907,ジオマテック,6907.T
6908,イリソ電子工業,6908.T
6912,菊水ホールディングス,6912.T
6914,オプテックスグループ,6914.T
6915,千代田インテグレ,6915.T
6918,アバールデータ,6918.T
6919,ケル,6919.T
6920,レーザーテック,6920.T
6923,スタンレー電気,6923.T
6925,ウシオ電機,6925.T
6926,岡谷電機産業,6926.T
6927,ヘリオス　テクノ　ホールディング,6927.T
6928,エノモト,6928.T
6929,日本セラミック,6929.T
6930,日本アンテナ,6930.T
6932,遠藤照明,6932.T
6937,古河電池,6937.T
6941,山一電機,6941.T
6942,ソフィアホールディングス,6942.T
6943,ＮＫＫスイッチズ,6943.T
6946,日本アビオニクス,6946.T
6947,図研,6947.T
6951,日本電子,6951.T
6952,カシオ計算機,6952.T
6954,ファナック,6954.T
6955,ＦＤＫ,6955.T
6957,芝浦電子,6957.T
6958,日本シイエムケイ,6958.T
6960,フクダ電子,6960.T
6961,エンプラス,6961.T
6962,大真空,6962.T
6963,ローム,6963.T
6964,サンコー,6964.T
6965,浜松ホトニクス,6965.T
6966,三井ハイテック,6966.T
6967,新光電気工業,6967.T
6969,松尾電機,6969.T
6971,京セラ,6971.T
6973,協栄産業,6973.T
6976,太陽誘電,6976.T
6977,日本抵抗器製作所,6977.T
6981,村田製作所,6981.T
6982,リード,6982.T
6986,双葉電子工業,6986.T
6988,日東電工,6988.T
6989,北陸電気工業,6989.T
6993,大黒屋ホールディングス,6993.T
6994,指月電機製作所,6994.T
6995,東海理化電機製作所,6995.T
6996,ニチコン,6996.T
6997,日本ケミコン,6997.T
6998,日本タングステン,6998.T
6999,ＫＯＡ,6999.T
7003,三井Ｅ＆Ｓ,7003.T
7004,カナデビア,7004.T
7011,三菱重工業,7011.T
7012,川崎重工業,7012.T
7013,ＩＨＩ,7013.T
7014,名村造船所,7014.T
7018,内海造船,7018.T
7021,ニッチツ,7021.T
7022,サノヤスホールディングス,7022.T
7030,スプリックス,7030.T
7031,インバウンドテック,7031.T
7033,マネジメントソリューションズ,7033.T
7034,プロレド・パートナーズ,7034.T
7035,ａｎｄ　ｆａｃｔｏｒｙ,7035.T
7036,イーエムネットジャパン,7036.T
7037,テノ．ホールディングス,7037.T
7038,フロンティア・マネジメント,7038.T
7039,ブリッジインターナショナル,7039.T
7040,サン・ライフホールディング,7040.T
7041,ＣＲＧホールディングス,7041.T
7042,アクセスグループ・ホールディングス,7042.T
7043,アルー,7043.T
7044,ピアラ,7044.T
7046,ＴＤＳＥ,7046.T
7047,ポート,7047.T
7048,ベルトラ,7048.T
7049,識学,7049.T
7050,フロンティアインターナショナル,7050.T
7057,エヌ・シー・エヌ,7057.T
7058,共栄セキュリティーサービス,7058.T
7059,コプロ・ホールディングス,7059.T
7060,ギークス,7060.T
7061,日本ホスピスホールディングス,7061.T
7062,フレアス,7062.T
7063,Ｂｉｒｄｍａｎ,7063.T
7064,ハウテレビジョン,7064.T
7065,ユーピーアール,7065.T
7066,ピアズ,7066.T
7067,ブランディングテクノロジー,7067.T
7068,フィードフォースグループ,7068.T
7069,サイバー・バズ,7069.T
7071,アンビスホールディングス,7071.T
7072,インティメート・マージャー,7072.T
7073,ジェイック,7073.T
7074,トゥエンティーフォーセブン,7074.T
7075,ＱＬＳホールディングス,7075.T
7077,ＡＬｉＮＫインターネット,7077.T
7078,ＩＮＣＬＵＳＩＶＥ,7078.T
7079,ＷＤＢココ,7079.T
7080,スポーツフィールド,7080.T
7081,コーユーレンティア,7081.T
7082,ジモティー,7082.T
7083,ＡＨＣグループ,7083.T
7084,Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,7084.T
7085,カーブスホールディングス,7085.T
7087,ウイルテック,7087.T
7088,フォーラムエンジニアリング,7088.T
7089,フォースタートアップス,7089.T
7090,リグア,7090.T
7091,リビングプラットフォーム,7091.T
7092,Ｆａｓｔ　Ｆｉｔｎｅｓｓ　Ｊａｐａｎ,7092.T
7093,アディッシュ,7093.T
7094,ＮｅｘＴｏｎｅ,7094.T
7095,Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,7095.T
7096,ステムセル研究所,7096.T
7097,さくらさくプラス,7097.T
7102,日本車輌製造,7102.T
7105,三菱ロジスネクスト,7105.T
7110,クラシコム,7110.T
7111,ＩＮＥＳＴ,7111.T
7112,キューブ,7112.T
7114,フーディソン,7114.T
7115,アルファパーチェス,7115.T
7116,ダイワ通信,7116.T
7119,ハルメクホールディングス,7119.T
7120,ＳＨＩＮＫＯ,7120.T
7122,近畿車輛,7122.T
7126,グローバルスタイル,7126.T
7127,一家ホールディングス,7127.T
7128,フルサト・マルカホールディングス,7128.T
7129,ミアヘルサホールディングス,7129.T
7130,ヤマエグループホールディングス,7130.T
7131,のむら産業,7131.T
7133,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,7133.T
7134,アップガレージグループ,7134.T
7135,ジャパンクラフトホールディングス,7135.T
7138,ＴＯＲＩＣＯ,7138.T
7140,ペットゴー,7140.T
7148,ＦＰＧ,7148.T
7150,島根銀行,7150.T
7157,ライフネット生命保険,7157.T
7161,じもとホールディングス,7161.T
7162,アストマックス,7162.T
7163,住信ＳＢＩネット銀行,7163.T
7164,全国保証,7164.T
7167,めぶきフィナンシャルグループ,7167.T
7172,ジャパンインベストメントアドバイザー,7172.T
7173,東京きらぼしフィナンシャルグループ,7173.T
7175,今村証券,7175.T
7177,ＧＭＯフィナンシャルホールディングス,7177.T
7180,九州フィナンシャルグループ,7180.T
7181,かんぽ生命保険,7181.T
7182,ゆうちょ銀行,7182.T
7183,あんしん保証,7183.T
7184,富山第一銀行,7184.T
7185,ヒロセ通商,7185.T
7186,コンコルディア・フィナンシャルグループ,7186.T
7187,ジェイリース,7187.T
7189,西日本フィナンシャルホールディングス,7189.T
7191,イントラスト,7191.T
7192,日本モーゲージサービス,7192.T
7196,Ｃａｓａ,7196.T
7198,ＳＢＩアルヒ,7198.T
7199,プレミアグループ,7199.T
7201,日産自動車,7201.T
7202,いすゞ自動車,7202.T
7203,トヨタ自動車,7203.T
7205,日野自動車,7205.T
7208,カネミツ,7208.T
7211,三菱自動車工業,7211.T
7212,エフテック,7212.T
7213,レシップホールディングス,7213.T
7214,ＧＭＢ,7214.T
7215,ファルテック,7215.T
7217,テイン,7217.T
7218,田中精密工業,7218.T
7219,エッチ・ケー・エス,7219.T
7220,武蔵精密工業,7220.T
7222,日産車体,7222.T
7224,新明和工業,7224.T
7226,極東開発工業,7226.T
7228,デイトナ,7228.T
7229,ユタカ技研,7229.T
7231,トピー工業,7231.T
7235,東京ラヂエーター製造,7235.T
7236,ティラド,7236.T
7238,曙ブレーキ工業,7238.T
7239,タチエス,7239.T
7240,ＮＯＫ,7240.T
7241,フタバ産業,7241.T
7242,カヤバ,7242.T
7244,市光工業,7244.T
7245,大同メタル工業,7245.T
7246,プレス工業,7246.T
7247,ミクニ,7247.T
7250,太平洋工業,7250.T
7254,ユニバンス,7254.T
7255,桜井製作所,7255.T
7256,河西工業,7256.T
7259,アイシン,7259.T
7261,マツダ,7261.T
7264,ムロコーポレーション,7264.T
7265,エイケン工業,7265.T
7266,今仙電機製作所,7266.T
7267,本田技研工業,7267.T
7269,スズキ,7269.T
7270,ＳＵＢＡＲＵ,7270.T
7271,安永,7271.T
7272,ヤマハ発動機,7272.T
7273,イクヨ,7273.T
7276,小糸製作所,7276.T
7277,ＴＢＫ,7277.T
7278,エクセディ,7278.T
7279,ハイレックスコーポレーション,7279.T
7280,ミツバ,7280.T
7282,豊田合成,7282.T
7283,愛三工業,7283.T
7284,盟和産業,7284.T
7287,日本精機,7287.T
7291,日本プラスト,7291.T
7292,村上開明堂,7292.T
7294,ヨロズ,7294.T
7296,エフ・シー・シー,7296.T
7297,カーメイト,7297.T
7299,フジオーゼックス,7299.T
7305,新家工業,7305.T
7309,シマノ,7309.T
7313,テイ・エス　テック,7313.T
7314,小田原機器,7314.T
7317,松屋アールアンドディ,7317.T
7318,セレンディップ・ホールディングス,7318.T
7320,Ｓｏｌｖｖｙ,7320.T
7322,三十三フィナンシャルグループ,7322.T
7325,アイリックコーポレーション,7325.T
7326,ＳＢＩインシュアランスグループ,7326.T
7327,第四北越フィナンシャルグループ,7327.T
7337,ひろぎんホールディングス,7337.T
7343,ブロードマインド,7343.T
7345,アイ・パートナーズフィナンシャル,7345.T
7347,マーキュリアホールディングス,7347.T
7350,おきなわフィナンシャルグループ,7350.T
7351,グッドパッチ,7351.T
7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,7352.T
7353,ＫＩＹＯラーニング,7353.T
7354,ダイレクトマーケティングミックス,7354.T
7356,Ｒｅｔｔｙ,7356.T
7357,ジオコード,7357.T
7358,ポピンズ,7358.T
7359,東京通信グループ,7359.T
7360,オンデック,7360.T
7361,ヒューマンクリエイションホールディングス,7361.T
7362,Ｔ．Ｓ．Ｉ,7362.T
7363,ベビーカレンダー,7363.T
7366,ＬＩＴＡＬＩＣＯ,7366.T
7367,セルム,7367.T
7368,表示灯,7368.T
7369,メイホーホールディングス,7369.T
7370,Ｅｎｊｉｎ,7370.T
7371,Ｚｅｎｋｅｎ,7371.T
7372,デコルテ・ホールディングス,7372.T
7373,アイドマ・ホールディングス,7373.T
7374,コンフィデンス・インターワークス,7374.T
7375,リファインバースグループ,7375.T
7376,ＢＣＣ,7376.T
7377,ＤＮホールディングス,7377.T
7378,アシロ,7378.T
7379,サーキュレーション,7379.T
7380,十六フィナンシャルグループ,7380.T
7381,北國フィナンシャルホールディングス,7381.T
7383,ネットプロテクションズホールディングス,7383.T
7384,プロクレアホールディングス,7384.T
7386,ジャパンワランティサポート,7386.T
7388,ＦＰパートナー,7388.T
7389,あいちフィナンシャルグループ,7389.T
7399,ナンシン,7399.T
7408,ジャムコ,7408.T
7409,ＡｅｒｏＥｄｇｅ,7409.T
7412,アトム,7412.T
7413,創健社,7413.T
7414,小野建,7414.T
7416,はるやまホールディングス,7416.T
7417,南陽,7417.T
7419,ノジマ,7419.T
7420,佐鳥電機,7420.T
7421,カッパ・クリエイト,7421.T
7422,東邦レマック,7422.T
7425,初穂商事,7425.T
7426,山大,7426.T
7427,エコートレーディング,7427.T
7433,伯東,7433.T
7434,オータケ,7434.T
7435,ナ・デックス,7435.T
7438,コンドーテック,7438.T
7442,中山福,7442.T
7443,横浜魚類,7443.T
7444,ハリマ共和物産,7444.T
7445,ライトオン,7445.T
7446,東北化学薬品,7446.T
7447,ナガイレーベン,7447.T
7450,サンデー,7450.T
7451,三菱食品,7451.T
7453,良品計画,7453.T
7455,パリミキホールディングス,7455.T
7456,松田産業,7456.T
7458,第一興商,7458.T
7459,メディパルホールディングス,7459.T
7460,ヤギ,7460.T
7461,キムラ,7461.T
7462,ＣＡＰＩＴＡ,7462.T
7463,アドヴァングループ,7463.T
7464,セフテック,7464.T
7466,ＳＰＫ,7466.T
7467,萩原電気ホールディングス,7467.T
7472,鳥羽洋行,7472.T
7475,アルビス,7475.T
7476,アズワン,7476.T
7477,ムラキ,7477.T
7480,スズデン,7480.T
7481,尾家産業,7481.T
7482,シモジマ,7482.T
7483,ドウシシャ,7483.T
7486,サンリン,7486.T
7487,小津産業,7487.T
7490,日新商事,7490.T
7494,コナカ,7494.T
7500,西川計測,7500.T
7501,ティムコ,7501.T
7502,プラザホールディングス,7502.T
7504,高速,7504.T
7505,扶桑電通,7505.T
7506,ハウス　オブ　ローゼ,7506.T
7508,Ｇ‐７ホールディングス,7508.T
7509,アイエーグループ,7509.T
7510,たけびし,7510.T
7512,イオン北海道,7512.T
7513,コジマ,7513.T
7514,ヒマラヤ,7514.T
7515,マルヨシセンター,7515.T
7516,コーナン商事,7516.T
7520,エコス,7520.T
7521,ムサシ,7521.T
7522,ワタミ,7522.T
7523,アールビバン,7523.T
7524,マルシェ,7524.T
7525,リックス,7525.T
7527,システムソフト,7527.T
7531,清和中央ホールディングス,7531.T
7532,パン・パシフィック・インターナショナルホールディングス,7532.T
7537,丸文,7537.T
7538,大水,7538.T
7539,アイナボホールディングス,7539.T
7544,スリーエフ,7544.T
7545,西松屋チェーン,7545.T
7550,ゼンショーホールディングス,7550.T
7551,ウェッズ,7551.T
7552,ハピネット,7552.T
7554,幸楽苑,7554.T
7555,大田花き,7555.T
7559,ジーエフシー,7559.T
7561,ハークスレイ,7561.T
7562,安楽亭,7562.T
7564,ワークマン,7564.T
7565,萬世電機,7565.T
7567,栄電子,7567.T
7570,橋本総業ホールディングス,7570.T
7571,ヤマノホールディングス,7571.T
7575,日本ライフライン,7575.T
7578,ニチリョク,7578.T
7581,サイゼリヤ,7581.T
7585,かんなん丸,7585.T
7590,タカショー,7590.T
7593,ＶＴホールディングス,7593.T
7595,アルゴグラフィックス,7595.T
7596,魚力,7596.T
7599,ＩＤＯＭ,7599.T
7600,日本エム・ディ・エム,7600.T
7601,ポプラ,7601.T
7602,レダックス,7602.T
7603,マックハウス,7603.T
7604,梅の花,7604.T
7605,フジ・コーポレーション,7605.T
7606,ユナイテッドアローズ,7606.T
7607,進和,7607.T
7608,エスケイジャパン,7608.T
7609,ダイトロン,7609.T
7610,テイツー,7610.T
7611,ハイデイ日高,7611.T
7613,シークス,7613.T
7614,オーエムツーネットワーク,7614.T
7615,京都きもの友禅ホールディングス,7615.T
7616,コロワイド,7616.T
7619,田中商事,7619.T
7621,うかい,7621.T
7623,サンオータス,7623.T
7624,ＮａＩＴＯ,7624.T
7625,グローバルダイニング,7625.T
7628,オーハシテクニカ,7628.T
7630,壱番屋,7630.T
7634,星医療酸器,7634.T
7635,杉田エース,7635.T
7636,ハンズマン,7636.T
7637,白銅,7637.T
7638,ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,7638.T
7640,トップカルチャー,7640.T
7643,ダイイチ,7643.T
7646,ＰＬＡＮＴ,7646.T
7649,スギホールディングス,7649.T
7670,オーウエル,7670.T
7673,ダイコー通産,7673.T
7674,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,7674.T
7677,ヤシマキザイ,7677.T
7678,あさくま,7678.T
7679,薬王堂ホールディングス,7679.T
7681,レオクラン,7681.T
7682,浜木綿,7682.T
7683,ダブルエー,7683.T
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,7685.T
7686,カクヤスグループ,7686.T
7687,ミクリード,7687.T
7689,コパ・コーポレーション,7689.T
7692,アースインフィニティ,7692.T
7694,いつも,7694.T
7695,交換できるくん,7695.T
7698,アイスコ,7698.T
7701,島津製作所,7701.T
7702,ＪＭＳ,7702.T
7707,プレシジョン・システム・サイエンス,7707.T
7709,クボテック,7709.T
7711,助川電気工業,7711.T
7713,シグマ光機,7713.T
7715,長野計器,7715.T
7716,ナカニシ,7716.T
7717,ブイ・テクノロジー,7717.T
7718,スター精密,7718.T
7719,東京衡機,7719.T
7721,東京計器,7721.T
7722,国際計測器,7722.T
7723,愛知時計電機,7723.T
7725,インターアクション,7725.T
7726,黒田精工,7726.T
7727,オーバル,7727.T
7729,東京精密,7729.T
7730,マニー,7730.T
7731,ニコン,7731.T
7732,トプコン,7732.T
7733,オリンパス,7733.T
7734,理研計器,7734.T
7735,ＳＣＲＥＥＮホールディングス,7735.T
7739,キヤノン電子,7739.T
7740,タムロン,7740.T
7741,ＨＯＹＡ,7741.T
7743,シード,7743.T
7744,ノーリツ鋼機,7744.T
7745,Ａ＆Ｄホロンホールディングス,7745.T
7746,岡本硝子,7746.T
7747,朝日インテック,7747.T
7749,メディキット,7749.T
7751,キヤノン,7751.T
7752,リコー,7752.T
7760,ＩＭＶ,7760.T
7762,シチズン時計,7762.T
7769,リズム,7769.T
7771,日本精密,7771.T
7774,ジャパン・ティッシュエンジニアリング,7774.T
7775,大研医器,7775.T
7776,セルシード,7776.T
7777,スリー・ディー・マトリックス,7777.T
7779,ＣＹＢＥＲＤＹＮＥ,7779.T
7780,メニコン,7780.T
7781,平山ホールディングス,7781.T
7782,シンシア,7782.T
7791,ドリームベッド,7791.T
7792,コラントッテ,7792.T
7793,イメージ・マジック,7793.T
7794,イーディーピー,7794.T
7795,ＫＹＯＲＩＴＳＵ,7795.T
7800,アミファ,7800.T
7803,ブシロード,7803.T
7804,ビーアンドピー,7804.T
7805,プリントネット,7805.T
7806,ＭＴＧ,7806.T
7807,幸和製作所,7807.T
7808,シー・エス・ランバー,7808.T
7809,壽屋,7809.T
7810,クロスフォー,7810.T
7811,中本パックス,7811.T
7812,クレステック,7812.T
7813,プラッツ,7813.T
7814,日本創発グループ,7814.T
7815,東京ボード工業,7815.T
7817,パラマウントベッドホールディングス,7817.T
7818,トランザクション,7818.T
7819,粧美堂,7819.T
7820,ニホンフラッシュ,7820.T
7821,前田工繊,7821.T
7822,永大産業,7822.T
7823,アートネイチャー,7823.T
7826,フルヤ金属,7826.T
7827,オービス,7827.T
7831,ウイルコホールディングス,7831.T
7832,バンダイナムコホールディングス,7832.T
7833,アイフィスジャパン,7833.T
7836,アビックス,7836.T
7837,アールシーコア,7837.T
7839,ＳＨＯＥＩ,7839.T
7840,フランスベッドホールディングス,7840.T
7841,遠藤製作所,7841.T
7844,マーベラス,7844.T
7846,パイロットコーポレーション,7846.T
7847,グラファイトデザイン,7847.T
7849,スターツ出版,7849.T
7850,総合商研,7850.T
7851,カワセコンピュータサプライ,7851.T
7856,萩原工業,7856.T
7857,セキ,7857.T
7859,アルメディオ,7859.T
7860,エイベックス,7860.T
7863,平賀,7863.T
7864,フジシールインターナショナル,7864.T
7865,ピープル,7865.T
7867,タカラトミー,7867.T
7868,広済堂ホールディングス,7868.T
7871,フクビ化学工業,7871.T
7872,エステールホールディングス,7872.T
7874,レック,7874.T
7875,竹田ｉＰホールディングス,7875.T
7877,永大化工,7877.T
7878,光・彩,7878.T
7879,ノダ,7879.T
7883,サンメッセ,7883.T
7885,タカノ,7885.T
7886,ヤマト　モビリティ　＆　Ｍｆｇ．,7886.T
7887,南海プライウッド,7887.T
7888,三光合成,7888.T
7893,プロネクサス,7893.T
7896,セブン工業,7896.T
7897,ホクシン,7897.T
7898,ウッドワン,7898.T
7901,マツモト,7901.T
7902,ソノコム,7902.T
7906,ヨネックス,7906.T
7908,きもと,7908.T
7911,ＴＯＰＰＡＮホールディングス,7911.T
7912,大日本印刷,7912.T
7914,共同印刷,7914.T
7915,ＮＩＳＳＨＡ,7915.T
7916,光村印刷,7916.T
7917,ＺＡＣＲＯＳ,7917.T
7918,ヴィア・ホールディングス,7918.T
7919,野崎印刷紙業,7919.T
7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,7921.T
7922,三光産業,7922.T
7923,トーイン,7923.T
7925,前澤化成工業,7925.T
7927,ムトー精工,7927.T
7928,旭化学工業,7928.T
7931,未来工業,7931.T
7932,ニッピ,7932.T
7936,アシックス,7936.T
7937,ツツミ,7937.T
7938,リーガルコーポレーション,7938.T
7939,研創,7939.T
7940,ウェーブロックホールディングス,7940.T
7942,ＪＳＰ,7942.T
7943,ニチハ,7943.T
7944,ローランド,7944.T
7946,光陽社,7946.T
7947,エフピコ,7947.T
7949,小松ウオール工業,7949.T
7951,ヤマハ,7951.T
7952,河合楽器製作所,7952.T
7953,菊水化学工業,7953.T
7955,クリナップ,7955.T
7956,ピジョン,7956.T
7957,フジコピアン,7957.T
7958,天馬,7958.T
7962,キングジム,7962.T
7963,興研,7963.T
7965,象印マホービン,7965.T
7966,リンテック,7966.T
7970,信越ポリマー,7970.T
7971,東リ,7971.T
7972,イトーキ,7972.T
7974,任天堂,7974.T
7975,リヒトラブ,7975.T
7976,三菱鉛筆,7976.T
7979,松風,7979.T
7980,重松製作所,7980.T
7981,タカラスタンダード,7981.T
7983,ミロク,7983.T
7984,コクヨ,7984.T
7985,ネポン,7985.T
7986,日本アイ・エス・ケイ,7986.T
7987,ナカバヤシ,7987.T
7988,ニフコ,7988.T
7989,立川ブラインド工業,7989.T
7990,グローブライド,7990.T
7991,マミヤ・オーピー,7991.T
7992,セーラー万年筆,7992.T
7994,オカムラ,7994.T
7995,バルカー,7995.T
7997,くろがね工作所,7997.T
7999,ＭＵＴＯＨホールディングス,7999.T
8001,伊藤忠商事,8001.T
8002,丸紅,8002.T
8005,スクロール,8005.T
8006,ユアサ・フナショク,8006.T
8007,高島,8007.T
8008,ヨンドシーホールディングス,8008.T
8011,三陽商会,8011.T
8012,長瀬産業,8012.T
8013,ナイガイ,8013.T
8014,蝶理,8014.T
8015,豊田通商,8015.T
8016,オンワードホールディングス,8016.T
8018,三共生興,8018.T
8020,兼松,8020.T
8022,美津濃,8022.T
8023,ＤＡＩＫＯ　ＸＴＥＣＨ,8023.T
8025,ツカモトコーポレーション,8025.T
8029,ルックホールディングス,8029.T
8030,中央魚類,8030.T
8031,三井物産,8031.T
8032,日本紙パルプ商事,8032.T
8035,東京エレクトロン,8035.T
8037,カメイ,8037.T
8038,東都水産,8038.T
8039,築地魚市場,8039.T
8040,東京ソワール,8040.T
8041,ＯＵＧホールディングス,8041.T
8043,スターゼン,8043.T
8045,横浜丸魚,8045.T
8046,丸藤シートパイル,8046.T
8050,セイコーグループ,8050.T
8051,山善,8051.T
8052,椿本興業,8052.T
8053,住友商事,8053.T
8056,ＢＩＰＲＯＧＹ,8056.T
8057,内田洋行,8057.T
8058,三菱商事,8058.T
8059,第一実業,8059.T
8060,キヤノンマーケティングジャパン,8060.T
8061,西華産業,8061.T
8065,佐藤商事,8065.T
8066,三谷商事,8066.T
8070,東京産業,8070.T
8074,ユアサ商事,8074.T
8075,神鋼商事,8075.T
8076,カノークス,8076.T
8077,トルク,8077.T
8078,阪和興業,8078.T
8079,正栄食品工業,8079.T
8081,カナデン,8081.T
8084,ＲＹＯＤＥＮ,8084.T
8085,ナラサキ産業,8085.T
8086,ニプロ,8086.T
8088,岩谷産業,8088.T
8089,ナイス,8089.T
8091,ニチモウ,8091.T
8093,極東貿易,8093.T
8095,アステナホールディングス,8095.T
8097,三愛オブリ,8097.T
8098,稲畑産業,8098.T
8101,ＧＳＩクレオス,8101.T
8103,明和産業,8103.T
8104,クワザワホールディングス,8104.T
8105,堀田丸正,8105.T
8107,キムラタン,8107.T
8111,ゴールドウイン,8111.T
8113,ユニ・チャーム,8113.T
8115,ムーンバット,8115.T
8117,中央自動車工業,8117.T
8118,キング,8118.T
8119,三栄コーポレーション,8119.T
8123,川辺,8123.T
8125,ワキタ,8125.T
8127,ヤマトインターナショナル,8127.T
8129,東邦ホールディングス,8129.T
8130,サンゲツ,8130.T
8131,ミツウロコグループホールディングス,8131.T
8132,シナネンホールディングス,8132.T
8133,伊藤忠エネクス,8133.T
8135,ゼット,8135.T
8136,サンリオ,8136.T
8137,サンワテクノス,8137.T
8138,三京化成,8138.T
8139,ナガホリ,8139.T
8141,新光商事,8141.T
8142,トーホー,8142.T
8143,ラピーヌ,8143.T
8144,デンキョーグループホールディングス,8144.T
8147,トミタ,8147.T
8150,三信電気,8150.T
8151,東陽テクニカ,8151.T
8152,ソマール,8152.T
8153,モスフードサービス,8153.T
8154,加賀電子,8154.T
8157,都築電気,8157.T
8158,ソーダニッカ,8158.T
8159,立花エレテック,8159.T
8160,木曽路,8160.T
8163,ＳＲＳホールディングス,8163.T
8165,千趣会,8165.T
8166,タカキュー,8166.T
8167,リテールパートナーズ,8167.T
8173,上新電機,8173.T
8174,日本瓦斯,8174.T
8179,ロイヤルホールディングス,8179.T
8181,東天紅,8181.T
8185,チヨダ,8185.T
8194,ライフコーポレーション,8194.T
8198,マックスバリュ東海,8198.T
8200,リンガーハット,8200.T
8202,ラオックスホールディングス,8202.T
8203,ＭｒＭａｘＨＤ,8203.T
8207,テンアライド,8207.T
8208,エンチョー,8208.T
8209,フレンドリー,8209.T
8214,ＡＯＫＩホールディングス,8214.T
8217,オークワ,8217.T
8218,コメリ,8218.T
8219,青山商事,8219.T
8225,タカチホ,8225.T
8226,理経,8226.T
8227,しまむら,8227.T
8230,はせがわ,8230.T
8233,高島屋,8233.T
8237,松屋,8237.T
8242,エイチ・ツー・オー　リテイリング,8242.T
8244,近鉄百貨店,8244.T
8247,大和,8247.T
8252,丸井グループ,8252.T
8253,クレディセゾン,8253.T
8254,さいか屋,8254.T
8255,アクシアル　リテイリング,8255.T
8260,井筒屋,8260.T
8267,イオン,8267.T
8273,イズミ,8273.T
8275,フォーバル,8275.T
8276,平和堂,8276.T
8278,フジ,8278.T
8279,ヤオコー,8279.T
8281,ゼビオホールディングス,8281.T
8282,ケーズホールディングス,8282.T
8283,ＰＡＬＴＡＣ,8283.T
8285,三谷産業,8285.T
8289,Ｏｌｙｍｐｉｃグループ,8289.T
8291,日産東京販売ホールディングス,8291.T
8304,あおぞら銀行,8304.T
8306,三菱ＵＦＪフィナンシャル・グループ,8306.T
8308,りそなホールディングス,8308.T
8309,三井住友トラストグループ,8309.T
8316,三井住友フィナンシャルグループ,8316.T
8331,千葉銀行,8331.T
8334,群馬銀行,8334.T
8336,武蔵野銀行,8336.T
8337,千葉興業銀行,8337.T
8338,筑波銀行,8338.T
8341,七十七銀行,8341.T
8343,秋田銀行,8343.T
8344,山形銀行,8344.T
8345,岩手銀行,8345.T
8346,東邦銀行,8346.T
8349,東北銀行,8349.T
8354,ふくおかフィナンシャルグループ,8354.T
8358,スルガ銀行,8358.T
8359,八十二銀行,8359.T
8360,山梨中央銀行,8360.T
8361,大垣共立銀行,8361.T
8362,福井銀行,8362.T
8364,清水銀行,8364.T
8365,富山銀行,8365.T
8366,滋賀銀行,8366.T
8367,南都銀行,8367.T
8368,百五銀行,8368.T
8370,紀陽銀行,8370.T
8377,ほくほくフィナンシャルグループ,8377.T
8381,山陰合同銀行,8381.T
8383,鳥取銀行,8383.T
8386,百十四銀行,8386.T
8387,四国銀行,8387.T
8388,阿波銀行,8388.T
8392,大分銀行,8392.T
8393,宮崎銀行,8393.T
8395,佐賀銀行,8395.T
8399,琉球銀行,8399.T
8410,セブン銀行,8410.T
